Image,Observation,Date,Exposure,Tip_Radius,Tip_Longitude,Base_Radius,Base_Longitude,Class,Phase
N1552809157_1.IMG,ISS_041RF_FMOVIE002_VIMS,2007-076T07:19:12.134,2600,140005.92,208.914,140161.21,208.919,Extended Object,107.48606
N1552818877_1.IMG,ISS_041RF_FMOVIE002_VIMS,2007-076T10:01:12.072,2600,140173.29,208.388,140196.09,208.391,Complex,108.49627
N1552825357_1.IMG,ISS_041RF_FMOVIE002_VIMS,2007-076T11:49:12.031,2600,140241.45,209.768,140174.45,209.883,Complex,109.17088
N1552826077_1.IMG,ISS_041RF_FMOVIE002_VIMS,2007-076T12:01:12.027,2600,140201.46,211.533,140172.61,211.541,Complex,109.23815
N1552839757_1.IMG,ISS_041RF_FMOVIE002_VIMS,2007-076T15:49:11.940,2600,139848.25,213.666,140148.96,213.641,Extended Object,110.65934
N1554032873_1.IMG,ISS_041RF_FMOVIE001_VIMS,2007-090T11:14:21.190,1000,140525.44,176.193,140489.83,176.24,Classic,82.60784
N1554034273_1.IMG,ISS_041RF_FMOVIE001_VIMS,2007-090T11:37:41.181,1000,140417.82,176.733,140571.95,176.724,Extended Object,82.71905
N1554037423_1.IMG,ISS_041RF_FMOVIE001_VIMS,2007-090T12:30:11.161,1000,140546.68,174.154,140522.95,174.27,Complex,82.90968
N1554038123_1.IMG,ISS_041RF_FMOVIE001_VIMS,2007-090T12:41:51.157,1000,140508.68,176.112,140461.15,176.112,Complex,83.05076
N1554038823_1.IMG,ISS_041RF_FMOVIE001_VIMS,2007-090T12:53:31.152,1000,140508.68,176.112,140461.15,176.112,Extended Object,83.05076
N1554044073a_1.IMG,ISS_041RF_FMOVIE001_VIMS,2007-090T14:21:01.119,1000,140438.62,177.138,140486.16,177.061,Classic,83.45969
N1554044073b_1.IMG,ISS_041RF_FMOVIE001_VIMS,2007-090T14:21:01.119,1001,140497.21,173.695,140473.42,173.695,Complex,83.39499
N1554045123_1.IMG,ISS_041RF_FMOVIE001_VIMS,2007-090T14:38:31.112,1000,0,0,140485.6,177.458,Complex,83.54512
N1554046873a_1.IMG,ISS_041RF_FMOVIE001_VIMS,2007-090T15:07:41.101,1000,140490.53,177.188,140526.39,177.157,Classic,83.67157
N1554046873b_1.IMG,ISS_041RF_FMOVIE001_VIMS,2007-090T15:07:41.101,1001,140490.58,177.18,140526.39,177.157,Classic,83.67157
N1554047573_1.IMG,ISS_041RF_FMOVIE001_VIMS,2007-090T15:19:21.097,1000,140544.24,175.017,140518.12,175.04,Classic,83.68462
N1554052823_1.IMG,ISS_041RF_FMOVIE001_VIMS,2007-090T16:46:51.064,1000,140485.92,177.849,140497.79,177.819,Classic,84.12849
N1554064723_1.IMG,ISS_041RF_FMOVIE001_VIMS,2007-090T20:05:10.988,1000,140168.45,177.416,140490.31,177.404,Extended Object,85.02269
N1555566013_1.IMG,ISS_043RF_FMOVIE001_VIMS,2007-108T05:06:31.464,1000,140510.44,178.965,140537.09,178.931,Complex,84.03436
N1555575013_1.IMG,ISS_043RF_FMOVIE001_VIMS,2007-108T07:36:31.407,1000,140576.3,181.335,140551.82,181.335,Complex,84.6533
N1555579213_1.IMG,ISS_043RF_FMOVIE001_VIMS,2007-108T08:46:31.380,1000,140584.02,180.871,140521.89,180.93,Classic,84.92051
N1555583413_1.IMG,ISS_043RF_FMOVIE001_VIMS,2007-108T09:56:31.354,1000,140546.58,180.24,140520.7,180.265,Complex,85.1845
N1555585813_1.IMG,ISS_043RF_FMOVIE001_VIMS,2007-108T10:36:31.338,1000,140599.39,182.786,140555.64,182.894,Complex,85.37961
N1555587013_1.IMG,ISS_043RF_FMOVIE001_VIMS,2007-108T10:56:31.331,1000,139868.48,181.363,-,-,Extended Object,85.41164
N1555588213_1.IMG,ISS_043RF_FMOVIE001_VIMS,2007-108T11:16:31.323,1000,140512,185.85,-,-,Extended Object,85.57011
N1555590613_1.IMG,ISS_043RF_FMOVIE001_VIMS,2007-108T11:56:31.308,1000,140498.29,179.807,140525.15,179.782,Classic,85.64911
N1555591213_1.IMG,ISS_043RF_FMOVIE001_VIMS,2007-108T12:06:31.304,1000,140603.51,182.604,140519.21,182.646,Complex,85.73346
N1555592413_1.IMG,ISS_043RF_FMOVIE001_VIMS,2007-108T12:26:31.297,1000,140574.37,184.006,140528.35,184.04,Classic,85.83
N1555594813_1.IMG,ISS_043RF_FMOVIE001_VIMS,2007-108T13:06:31.281,1000,0,0,140497.18,183.041,Complex,85.97499
N1555595413_1.IMG,ISS_043RF_FMOVIE001_VIMS,2007-108T13:16:31.278,1000,0,0,140511.65,183.672,Complex,85.95959
N1555600813a_1.IMG,ISS_043RF_FMOVIE001_VIMS,2007-108T14:46:31.243,999,140559.31,184.814,140547.23,184.814,Complex,86.3868
N1555600813b_1.IMG,ISS_043RF_FMOVIE001_VIMS,2007-108T14:46:31.243,1000,140581.94,183.792,140546.62,183.817,Classic,86.3868
N1555600813c_1.IMG,ISS_043RF_FMOVIE001_VIMS,2007-108T14:46:31.243,1001,140567.47,181.759,140541.28,181.799,Complex,86.3868
N1555607413_1.IMG,ISS_043RF_FMOVIE001_VIMS,2007-108T16:36:31.202,1000,140539.64,184.741,140562.34,184.716,Classic,86.84063
N1556209323_1.IMG,ISS_043RI_AZSCAN001_PRIME,2007-115T15:48:17.780,220,140008.35,85.242,139987.61,85.25,Extended Object,14.30475
N1556209778_1.IMG,ISS_043RI_AZSCAN001_PRIME,2007-115T15:55:52.777,220,140011.11,80.64,140026.87,80.623,Classic,13.71644
N1556544478a_1.IMG,ISS_043OT_SATELLORB021_PRIME,2007-119T12:58:40.442,680,0,0,140067.83,334.869,Complex,46.91507
N1556544478b_1.IMG,ISS_043OT_SATELLORB021_PRIME,2007-119T12:58:40.442,680,140148.71,328.724,140112.84,328.838,Classic,46.91507
N1557026084a_1.IMG,ISS_044RF_FMOVIE001_VIMS,2007-125T02:40:53.219,1000,140228.4,179.02,140365.01,178.966,Classic - bright head,79.79148
N1557026084b_1.IMG,ISS_044RF_FMOVIE001_VIMS,2007-125T02:40:53.219,1000,140228.4,179.02,140353.01,178.86,Classic - bright head,79.79148
N1557033152_1.IMG,ISS_044RF_FMOVIE001_VIMS,2007-125T04:38:41.174,1000,140311.76,179.465,140373.69,179.401,Classic,80.24622
N1557035012_1.IMG,ISS_044RF_FMOVIE001_VIMS,2007-125T05:09:41.162,1000,140304.66,177.961,140344.68,177.919,Classic,80.3134
N1557054728_1.IMG,ISS_044RF_FMOVIE001_VIMS,2007-125T10:38:17.037,1000,140289.81,179.81,140362.64,179.821,Extended Object,81.46967
N1557056960_1.IMG,ISS_044RF_FMOVIE001_VIMS,2007-125T11:15:29.023,1000,140314.28,179.359,140367.15,179.298,Complex,81.59746
N1557058448_1.IMG,ISS_044RF_FMOVIE001_VIMS,2007-125T11:40:17.014,1000,140354.69,181.275,140378.33,181.214,Complex,81.71076
N1557072956_1.IMG,ISS_044RF_FMOVIE001_VIMS,2007-125T15:42:04.922,1000,140439.51,180.925,140389.68,180.964,Complex,82.58812
N1557080024_1.IMG,ISS_044RF_FMOVIE001_VIMS,2007-125T17:39:52.877,1000,140230.35,182.505,140362.3,182.22,Classic - bright head,83.03794
N1558547650_1.IMG,ISS_045OT_SATELLORB010_PRIME,2007-142T17:20:09.760,680,139909.39,159.262,140013.96,159.175,Classic - bright head,79.19877
N1571450847_1.IMG,ISS_051RI_LPMRDFMOV001_PRIME,2007-292T01:32:04.489,380,139931.89,179.05,140009.07,179.043,Classic,55.79619
